"HolderAddress","Balance","PendingBalanceUpdate"
"0x313db3cf31f2194f9a61396026fbbb474a4ce6bb","0.00450398328864643","No"
"0x31a2a9e625c111d98d74241c046c1117cc1d94b0","0.0186247057529713","No"
"0x31bac70c668832a24bd3ce4fcf321e486589c0b9","0.00220509834639083","No"
"0x32eb3f27372abc7179786ee3458802acfeb371b2","0.000351656357173839","No"
"0x331154ed92dce6507e55238a8d5c88a3d19a8c69","0.01","No"
"0x33ce9f39950c65d11031050d2b86b6fdc44aff71","0.0518179811300061","No"
"0x33e5f7e067b4d1ea1108745defe1e0b03a3964ef","4.03831229507E-07","No"
"0x33ee1c922f2fe700af6cf5fb5260c2a4da9b935f","1.9392808448081E-05","No"
"0x344b1e4ac175f16d3ba40a688ca928e3768e275a","5.1858879184724E-05","No"
"0x3496cc53d6d8650ec936891038e656a85475126b","0.001","No"
"0x3533e4f945475db7023f5e2133bfe970e4c0635c","0.000200039894737254","No"
"0x3609c482246d0db999222b9bff453e442308e040","0.01","No"
"0x3663f89d73136dd11c822fe9c2a718859f7816c8","2.2932195076E-08","No"
"0x3676d68cd9d6c0032c4e2e24b46aeca9d4fd88e5","0.0104365551667306","No"
"0x369dfae314a2accb27c81464484b09fb7bd52ee6","1E-18","No"
"0x36b39e4fd91f4808400cd66f5085296077ccecbc","0.000239448507371601","No"
"0x36d9b6a89196042b5450b4687aa7c5c315c22aa9","0.000170526681185907","No"
"0x371570624363d23e69610e1ae599d5b4b353e57d","0.00220857966162245","No"
"0x3730fa45587115a14dc7219f474776b1b54e8461","0.01","No"
"0x3761dc0005c58c1175ba936a1da0c804b16b759b","0.0743904746354556","No"
"0x384b5d736d3808f95f422124243979ee76fc97ae","2.74262883118E-07","No"
"0x39d27ba401676365eb8d2ad54dcaac48d0a5fa9a","0.0286372317710666","No"
"0x3a935f72509fb3668027ac0d125ac43810015516","0.0289563541958363","No"
"0x3adeb4c587aacbb5a5ffa856aef1f6f8a2af615d","3.0597061415575E-05","No"
"0x3ba2e76886dfce43dbfeeb61096954e7d2a0d208","0.01","No"
"0x3bc7e4cac0a3ee1132608751db77ca25a6ed9897","0.00259925635189173","No"
"0x3bf52977eedc04a0d13e7c6ad05e0415d33b76c0","0.000254321006956937","No"
"0x3cc729e9cd6521e3e97cffc17a60005f1e78e5ac","10.6240041125085","No"
"0x3d26c71266af24622aa79aa325598d39dc8047a0","9.994414133554E-06","No"
"0x3d48587aa16d91a2e37198b5b428674bdaddf038","6.360481330317E-06","No"
"0x3df364ed7e8a887f7f9c240f7e281a4ea05ce03f","0.000189999999999999","No"
"0x3f6fc896437f83224b1f1131dc57fd5fb772179b","0.00575762651019763","No"
"0x40e7b330c27611145105ae0c70b5455dff6f3283","0.00012","No"
"0x42ba34fac9b15b22bf19d51c944f24629837010d","6.061138615402E-06","No"
"0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b","0.0742458894046053","No"
"0x431dbe833ca66dfcc827ecefd985a352eb6bb7c0","7.650558224865E-06","No"
"0x432fb12b4429f7630c19a28fce80bf3e564dfe0e","0.00402419415851496","No"
"0x43bcc9be37de18f8fe168b747d07b86df2a80d95","0.000227566829142588","No"
"0x43e1092d93edb65d7356352214111d791c7d8a91","41.5484101609329","No"
"0x43f98daf5c4a79131230d93d0fc3c03278571845","0.00122567475823067","No"
